Serial Number,Author(s),doi,Species,Plant part used,place,TPC,TFC,TCC,Methodogy,solvent system,scienctific name,result,mislenious,Exatraction technique,FRAP,ABTS,DPPH,Unit meaning
94,"(Arturo-Perdomo et al., 2021)",https://doi.org/10.1007/s12161-021-02020-5,Passion fruits,Seed,Colombia,,,,Supercritical Fluid Extraction,methanol,Passiflora edulis,"for octadecanamide, three different isomers were detected in passion fruit, including octadecanamide, 9-octadecenamide, and an octadecenamide isomer",,,,,,
95,"(Zas et al., n.d.)",https://wjpr.s3.ap-south-1.amazonaws.com/article_issue/1456747766.pdf,Passion fruits,leaf,India,,,,Soxhlet  method, hexane,Passiflora edulis,The phenolic compounds present in the extract of passiflora edulis might be the major contributors to the antioxidant activities.,Vitamin C,The petroleum ether and chloroform extracts of Passiflora edulis leaf on DPPH free radical scavenging assay,,58.88,,
96,"(Jusuf et al., 2020)",https://doi.org/10.2147%2FCCID.S229743,Passion fruits,Seed,Indonesia,14.76,,743,Soxhlet  method,,P. edulis Sims var. edulis,The passion fruit purple variant seed extract showed more than 50% colony inhibition at a concentration of 20%.,tannin,"e The extract was dissolved in DMSO into multiple concentrations, of 1.25%, 2.5%, 5%, 10%, 20%, and 40%",,123,,
97,"(Jim©nez-S¡nchez et al., 2015)",https://doi.org/10.1080/10408398.2014.914019,Passion fruits,pulp,Brazil,,,,, hexane,Passiflora edulis,"Juice samples subjected to sonication showed significant rises in carotenoid content, registering great improvement in extractability of carotenoids (9%) when compared to the control",Vitamin C,,,,,
98,"(Casarotti et al., 2018)",https://doi.org/10.1016/j.lwt.2018.08.010,Passion fruits,"peel, pulp and seeds",Brazil,384.44,56.07,,Soxhlet  method,,Passiflora edulis,"The phytochemical contents of fruit by-products indicate that they have high levels of phenolic compounds, carotenoids and fibers, besides a high antioxidant activity, indicating their potential to be used as an added-value ingredient in health-enhancing food products.",,"The material was dried in an oven with air circulation  at 60C until constant weight, grounded to obtain a fine powder using a processor which was standardized to particle size<42¼m to facilitate the mixture of these by-products with goat milk and cereal extracts.",,,,
99,"(Samyor, Deka and Das, 2018)",doi:10.1007/s13197-018-3439-9,Passion fruits,pulp,India,129.49,,,Supercritical Fluid Extraction,distilled water,Passiflora edulis,Results revealed that the incorporation of passion fruit powders significantly affected the physical and phytochemical properties of extrudates.,vitamin C,"Passion fruit pulp was obtained by squeezing the fruit, and the pulp was made into powder using foam mat drying.",,,65.79,
100,"(Samyor et al., 2020)",https://doi.org/10.1007/s13197-020-04596-y,Passion fruits,pulp,India,258.12,,13.26,Soxhlet  method, distilled water,Passiflora edulis Sims,"n passion fruit pulp, coumaric acid, syringic acid, and sinapic acid were predominant whereas, in foam mat powder chromogenic acid, trans-ferulic acid, and vanillic acid were higher.",vitamin C,The passion fruit pulp and methylcellulose mixture was whipped in a modified kitchen blender,,,60.53,
101,"(dos Santos Soares et al., 2021)",https://doi.org/10.1007/s11627-021-10179-z,passion fruit,flower buds,Brazil,,,,Soxhlet  method,liquid nitrogen,Passiflora gibertiiN. E. Brown,"Flow cytometry revealed that all embryogenic calluses were diploid, thus ensuring genetic stability of the embryos in relation to the explants",,,,,,
102,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,pulp,Brazil,78.5,1.3,35.2,Soxhlet  method,water/tetrahydrofuran/trifluoracetic acid,Passiflora setacea,"the training system, as isolated factor, had no influence onPassiflora setaceacomposition, since there was no significant difference between trellis and espalier treatments in phytochemical content, with exception to vitamin C with higher means in espalier system.",vitamin C,"The pure pulps were vacuum packed  packed separately in polyethylene bags, frozen and stored at ˆ’80C, until chemical analysis. Pulp moisture was measured by drying at 105C and at 70C under vacuum, according to standard procedures.",,82.4,47.1,
103,"(de Carvalho et al., 2018)",https://doi.org/10.1016/j.foodchem.2018.05.097,passion fruit,passion fruit bagasse.,Brazil,55.237,,23.064,Supercritical Fluid Extraction,ethanol,Passiflora edulis sp,he total phenolic content obtained from DPFB was 1.5 times higher than the nonDPFB,,The employed extraction methods were supercritical fluid extraction (SFE) (40-60 C; 17-35 MPa) and pressurized liquid extraction,,,,
104,"(de Oliveira et al., 2021)",https://doi.org/10.3390/foods10091970,passion fruit,fruit pulp,Brazil,68.49,2.15,51.51,Soxhlet  method,,Passiflora edulisSims. f. flavicarpa Deg.,The antioxidant activity decreased (p< 0.05) in examined beverage formulations during storage when measured by the FRAP and ABTS method.,,"For the extract preparation, a 10 g-aliquot of each beverage was homogenized with a mini-Turrax apparatus, centrifuged  and filtered with a 0.45 m-filter",0.336,,,
105,"(Giambanelli et al., 2020)",https://doi.org/10.3390/antiox9070.628,passion fruit,pulp,Ecuador,63.5,,,Soxhlet  method,methanol,Passiflora edulis,"Briefly, the high phenolic content and the antioxidant and antihyperglycemic capacity found in this fruit confirmed its potential as a functional fruit.",vitamin C,"Briefly, 0.5 g of the previously freeze-dried sample was extracted using 10 mL of ethanol/water (80:20,v/v), using an ultrasonic bath",346.2,,61.9,
106,"(Mart­nez et al., 2012",http://dx.doi.org/10.1016/j.foodchem.2012.05.057,passion fruit, peel and pulp,Ecuador,246,,2.5,Soxhlet  method,methanolwaterHCl,"Passiflora edulis L., cv. Flovicarpa"," A significant correlation was ob-
served between TPC and the DPPH radical-scavenging activity of
dietary fibre samples extracted with methanol:acetone, while
there was also excellent correlation between TPC and the DPPH
radical-scavenging of samples extracted with ethanol.",,"Materials were then washed under mild conditions to minimise
losses of soluble fibre components (such as pectins and pentosans)
as well as bioactive compounds ",6.9,5.1,5.5,
107,"(Cahyanti et al., 2021)",doi:10.1088/1755-1315/911/1/012085, passion fruit ,pulp,Indonesia,157.7,,, maceration method,ethanol,Passiflora edulis var. Sims,". Based on phytochemical screening, the three fruit extracts, namely tomatoes, purple passion fruit and strawberries, contained alkaloids, flavonoids, saponins, tannins and also a class of terpene compounds such as triterpenoids.",vitamin C,Sample extraction was carried out using the maceration method. Fruit samples that have been mashed in the form of juice are put into glass jars and soaked in 500 mL 96% ethano,,,,
108,"(Chassagne & Crouzet, 1998)",https://doi.org/10.1016/s0031-9422(98)00130-7, passion fruit ,fruit pulp,,,,,,,PASSIFLORA EDULIS ,"result confirms the presence of the glucose unit and
an (R)-absolute configuration for C-7.",,,,,,
109,"(Lima et al., n.d.)",https://www.sbmicrobiologia.org.br/29cbm-anais/resumos/15/R0414-2.PDF, passion fruit ,"peels, seeds and pulp",BRAZIL,,,,,,Passiflora edulis,These results indicate the potential use of passion fruit residue flour as natural preservative for dry foods.,vitamin C,,,,,
110,"(Ghada et al., 2020)",https://doi.org/10.3390/molecules25143203, passion fruit ,peel,Portugal,,,,solid-liquid extraction,ethanol,Passiflora edulisSims,The extract obtained by the optimized method revealed a higher bioactivity,,Powdered epicarp samples (1 g) were mixed with 20 mL of solvent and processed by stirring at 500 rpm,,,"20.4 , ",
111,"(Giampieri & Battino, 2020)",https://doi.org/10.3390/ijms21093278, passion fruit ,peel,Brazil,382,,586.7,,,Passiflora edulis Sims f. edulis,,,,,,,
112,"(Macoris et al., 2012)",https://doi.org/10.1002/jsfa.5556, passion fruit ,pulp,Brazil,361.9,,,,methanol,Passiflora edulis var. Sims,TPC values increased during ripening for both organic and conventional passion fruit.,vitamin C,The conditions to extract TPC were 2 mL passion fruit pulp and 9 mL extraction solution containing 40% methanol:water (v/v).,,,,
113,"(Chau et al., 2012)",https://doi.org/10.5897/JMPR12.432, passion fruit ,fruit pulp,Brazil,,114.588,,Soxhlet  method, methanol,Passiflora edulis var. Sims,"Leaves are the main sources of vitexin, isoquercetin, quercetin and rutin, and contain, an average, 90% of the total flavonoids produced by the plant.",,Flavonoids were analyzed from methanolic extract of tissue dried at 40C. ,,,,
114,"(Vangari et al., 2021)",https://doi.org/10.55218/jasr.s1202112428, passion fruit , peel and pulp,India,,,,Soxhlet  method,Deuterium-depleted water,Passiflora edulis,The   present   work   involves   the   microwave-assisted preparation  of  AgNPs  using  PF  extract  as  reducing  and capping  agent  and  exploration  of  their  catalytic  activity ,vitamin C,"The  peel  was  cut  into  small  pieces,  washed and  dried  in  shade.  Finally,  they  were  oven  dried  for  1 hour at 80C and blend to make a fine powder. The PF extract  was  prepared  by  boiling  1  g  of  powder  in  100 mL  DDW. ",,,,
115,"(Nxumalo & Fawole, 2022)",https://doi.org/10.1093/fqsafe/fyac016, passion fruit ,fruit pulp, South Africa,3538.49,,,Soxhlet  method,ethanol,P. edulis f. f lavicarpa,,,"Briefly, 20g of finely powdered plant leaves were mixed with 100mL 70% ethanol in a 250-mL beaker for 30min. ",103.64,,60.9,
116,"(Kawakami et al., 2014)",https://doi.org/10.3390/nu6114794, passion fruit ,fruit seeds,Canada,,,,Supercritical Fluid Extraction,ethanol,Passiflora edulis,"results suggested that after intake of piceatannol, not only intact piceatannol but also its metabolite, isorhapontigenin, contributed to upregulation of SIRT1 expression",,,,,,
117,"(Zhang et al., 2020)",https://doi.org/10.1016/j.jff.2020.103822, passion fruit ,,,,,,,,,"Multiple plant extracts such as phenols, flavonoids, sterols, alkaloids
and aldehyde could control stem cell fate",,,,,,
118,"(Aguill³n Osma et al., 2013)",http://www.scielo.org.co/pdf/penh/v15n1/v15n1a1.pdf, passion fruit ,leaves and fruits,Colombia,91,,82.3,,ethanol,Passiflora edulis ,"The cytotoxic and antiproliferative activities observed in the aqueous and juice extracts might be attributed to the high presence of cardiotonic glycosides, compared to the ethanolic extract, which have showed antiproliferative and apoptotic effects on various types of cancer cell",vitamin C, The leaves aqueous extract was prepared dissolving the leaves powder in distilled water at 40C and filtered. ,,,3.5,
119,"(Ravimannan & Nisansala, 2017)",http://dx.doi.org/10.22192/ijarbs.2017.04.03.010, passion fruit , peel and pulp,Sri Lanka,355.8,543.5,,,,Passiflora edulis,"The antioxidant activity can be depending on several factors such as maturity stage, climate, species...etc. ",,,,,34.15,
120,"(Jeyasekaran & Deepa, 2021)",DOI: 10.9734/JPRI/2021/v33i58B34230, passion fruit ,fruit pulp,India,,,,,,Passiflora edulisf., The aqueous extract of P. edulis leaves              showed a significant anti-inflammatory property on mice,,,,,,
121,"(Urrego et al., 2021)",https://doi.org/10.1093/jpp/rgab118, passion fruit ,fruit pulp,Colombia,,,,aqueous extract,EtOH, P.edulis f.flavicarpa,"The BF and isolated compounds were active in the mouse ear oedema model induced by multiple topical application of TPA, highlighting the activity of the flavonoid-rich fraction. ",,"infusion with boiled distilled water (90C, 1:10 w/v) for 10min to simulate the extraction method used in popular medicine",,,,
122,"(Putra et al., 2020)",https://doi.org/10.31788/rjc.2020.1325645, passion fruit ,fruit peels, Indonesia,75.14,,,, ethanol,Passiflora sp,There is a significant difference in the content of isoorientin in ethanolic extract of passion fruit peel with different varieties,,"The simplicia powder, inserted into a closed vessel, added ethanol as the solvent (7,5 times) of the simplicia, left for 5 days and stirred frequently, and filtered the mixture.",,,,
123,"(Vuolo et al., 2020)",https://doi.org/10.1016/j.nutres.2019.08.007, passion fruit ,fruit peels,Brazil,,1.16,1.37,Soxhlet  method,ethanol,Passiflora edulis,"The intake of P edulis peel and its bioactive compounds
was effective in reducing the adverse effects observed by
the high-fat diet on total weight gain and oxidative stress.",vitamin C,"The
extraction was performed at 70C for 1 hour, with shaking
every 15 minutes followed by filtration",,,11.27,
124,"(El-Sherif et al., 2022)",DOI:10.47750/pnr.2022.13.S07.567, passion fruit ,fruit pulp,Egypt,,,,,,Passiflora edulisf.,,,,,,,
125,"(Mbaeyi-Nwaoha & Ezeoke, 2019)",https://doi.org/10.9734/afsj/2019/v10i130023, passion fruit , fruit juice,Nigeria,,,,Soxhlet  method,,Passiflora edulis flavicarpa,,Vitamin A,". The fruits were rinsed in warm water, peeled and deseeded.",,,,
126,"(Khas et al., 2020)",https://doi.org/10.22059/ijhst.2020.297194.343, passion fruit ,leaf, Iran,258.12,,13.26,Soxhlet  method,calcium hypochlorite solution,Passiflora edulis),The results obtained in the present study are considered acceptable for providing a potential commercial in vitro propagation protocol for purple passion fruit. ,," After eliminating the leaves, explants were washed with running tap water for 20 min, then were disinfected for 15 min in a 0.1 w/v calcium hypochlorite solution with 2-3 drops Tween 20 and rinsed four times in autoclaved distilled water",,,,
127,"(Kitada et al., 2017)",https://doi.org/10.3390/nu9101142, passion fruit ,Seeds,Japan,181,,,Soxhlet  method, ethanol,Passiflora edulis,"As insulin resistance is the most important factor in the pathophysiology of MS and because hypertension is also a complication of MS, supplementation with piceatannol may be useful for metabolic health, particularly for improving insulin sensitivity in obese men.",,,,,,
128,"(Cort©s, Guzm¡n and Mart­nez-Bustos, 2014)",doi:10.1007/s11130-014-0443-8, passion fruit ,fruit pulp,Mexico,,,0.287,Supercritical Fluid Extraction,methanol,Passiflora edulis,,,"The mesocarp of passion fruits was centrifuged at 1,027 g for 10 min at 15 C . The precipitate (pulp) was blended with corn starch in different concentration",,,,
129,"(Muniz et al., 2022)",https://doi.org/10.1016/j.rhisph.2022.100573, passion fruit ,seeds ,Brazil,33.06,520.411,, quadrant inter section method,water,Passiflora alata Curtis,"The inoculation with A. longula, associated with the addition of 10%
of coir dust in the substrate, is a low-cost agrobiotechnology indicated
for outstanding production of tannins and total saponins, over 70%, in
P. alata leaves",,,,,,
130,"(Raphaela et al., 2022)",https://doi.org/10.5897/jmpr2021.7190, passion fruit ,seeds ,Brazil,33.06,,,Soxhlet  method,methanol,Passiflora setacea D.C. ,the chromatographic analyses of leafextracts from both in vivo and micropropagated plants of P. setacea cv BRS P©rola do Cerrado described here detected the presence of vicenin-2 and schaftoside in higher content in comparison to the other flavonoids. ,vicenin-2 ,"Leaves from in vivo and micropropagated plants were lyophilized for five days, then powdered and weighed. In order to determine the best flavonoid extraction procedure, the extracts from in vivo-grown plants",,,64.4,
131,"(Airton et al., 2022)",https://doi.org/10.5897/jmpr2021.7205, passion fruit ,leaf,Brazil,,,,Soxhlet  method,saline solution,Passiflora alata ,"n the model and the doses used, no anxiolytic effect was observed",,"For administration, the dry extract was prepared in concentrations of 22 and 66 , diluted in saline solution (0.9%). ",,,,
132,"(Manuella et al., 2021)",https://doi.org/10.5897/JMPR2021.7125, passion fruit ,seeds,Brasil,,,,Soxhlet  method,alcohol,Passiflora incarnata,MS/4 culture medium supplemented with 15 g L-1 or 30 g L-1 sucrose enables the in vitro maintenance of P. edulis plants with smaller mean height values.,,,,,,
133,"(Zakwan Samudin et al., 2022)",https://doi.org/10.37231/jab.2022.13.2.291, passion fruit ,pulp and seed ,Malaysia,9.249,,,Soxhlet  method,methanol-water,Passiflora edulis varflavicarpa,"The findings  of  this study also highlightthe  potential of  passion  fruit  seed  as a valuablesourceof polyphenols, natural antioxidants and vitamin C",vitamin C,Passion fruit juice and seeds samples(4 mL)were macerated individually witha 40 mL solution containing70% of ethanol-water (v/v)and 70% of methanol-water (v/v).,,,53.68,
134,"(Kandandapani et al., 2015)",https://doi.org/10.1016/s1875-5364(15)30066-2, passion fruit ,pulp,Malaysia,,,,,,Passiflora edulis,results showed that the fruit peel and seed extract of P. edulis had anti-diabetic effects on the streptozotocin-induced oxidative stress.,,,,,,
135,"(Acham et al., 2018)",https://doi.org/10.9734/afsj/2018/41853, passion fruit ,,Malaysia,112.6,,,Soxhlet  method, ethanol, P. edulis fo. flavicarpa O. Deg,"These identified bioactive can indeed act synergistically in bringing about their muchdesired effect in ameliorating diabetes, hypertension, obesity, cancer and oxidative stress conditions",,,,,,
136,"(Lewis et al., 2013)",http://dx.doi.org/10.1016/j.jnutbio.2012.11.003, passion fruit ,peel,USA,,,,Soxhlet  method,methanol,"Passiflora edulis
SIMS","This study confirms the ability of PFPE to reduce SBP and extends
the current body of evidence that PFPE also decreases MAP, DBP and
HR following acute administration.",,"The peels were chopped using a food processor, minced using a Commitrol dicer
and immersed in 6 vol of deionized water for 1624 h at
ambient temperature",,,,
137,"(Lewis et al., 2013)",http://dx.doi.org/10.1016/j.supflu.2015.12.001, passion fruit ,bagasse,Brazil,,71.2,,Soxhlet method,,,"The chosen SFE pressures and temperatures allowed
obtaining extracts rich in tocols (at 60 —¦C and 17 MPa), fatty acids
(at 50 —¦C and 17 MPa), and carotenoids (at 60 —¦C and 26 MPa).",,,,,127.6 mg TE/100 g,
138,"(Carmona-Hernandez et al., 2021)",https://doi.org/10.1155/2021/8871301, passion fruit ,pulp,Colombia,46.84,,,solid-phase extraction,MeOH,Passiflora edulisSims,"The best TPC resulted with acetone 70%, low proportions and volumes of F-C",,"The initial extraction process included a solid-liquid phase extraction with a total extraction time of 24h. Lyophilized pulp samples, 0.5g, were dissolved in 25mL of ethanol (EtOH) 80%.",,,,
139,"(Thokchom et al., 2017)",https://www.researchgate.net/profile/Rocky-Thokchom-2/publication/342734984_Production_Preference_and_Importance_of_Passion_Fruit_Passiflora_Edulis_A_Review/links/5f0423bb299bf1881607ddee/Production-Preference-and-Importance-of-Passion-Fruit-Passiflora-Edulis-A-Review.pdf, passion fruit ,,India,,,,,,Passiflora edulis,cultivation and production of passion fruit is a technically feasible and can be boost up in the country,,,,,,
140,"(Abourashed et al., 2002)",https://www.tandfonline.com/doi/abs/10.1076/phbi.40.2.81.5844, passion fruit ,pulp,England,382,,586.7,,MeOH,Passiflora edulis,"The  generated  data  can  offer  solid  support  for  different  ap-plications,  such  as  chemotaxonomy,  breeding,  secondarymetabolite  production  and  optimization,  biological  evalua-tion  and  alternative  sourcing. ",,"Each  powdered  sample  (2.0 g)  was  loaded  into  astainless  steel  cartridge  and  batches  of  24  samples  wereextracted in a Accelerated Speed Extractor accord-ing to the following program: solvent, 80% MeOH in H2O;temperature, 40 C; pressure, 1000 psi;",,,,
141,"(Yu et al., 2020)",https://actamedicaphilippina.upm.edu.ph/index.php/acta/article/view/1531/1270, passion fruit ,"leaves, fruits and roots ",Philippines ,,,,,methanol ,Passiflora edulis,the  study  revealed  that  different  plant  foods   showed   different   capacity   to   scavenge   particular   oxidants. ,,The  dried  samples  were  extracted  thrice  with  methanol  (AR)  at  room  temperature  within  twenty-four   (24)   hours. ,,,66.67,
142,"(Siqueira-Jºnior et al., 2007)",https://doi.org/10.1007/s00299-007-0451-4, passion fruit ,pulp,Brazil,,,,,polyvinylpolypyrolidone,Passiflora edulis f. flavicarpa,The results presented in this work contribute to the information available concerning the importance of cytochrome P450 enzymes for the oxylipin metabolism and signaling transduction in plant defense.,,,,,,
143,"(ABIODUN et al., 2020)",https://doi.org/10.4274/tjps.galenos.2020.38801, passion fruit ,pulp,USA,41.49,467.19,,Soxhlet extraction,methanol ,Passiflora edulis,It contains nontoxic antioxidant compounds that could be explored in the pharmaceutical and cosmetics industries for the development of antioxidant agents.,,The aqueous extract of each sample was prepared by soaking 10g of powdered samples in 200ml of distilled water for 72 hours. ,,,58.64,
144,"(Musika et al., 2021)","http://www.ijat-aatsea.com/pdf/v17_n4_2021_July/16_IJAT_17(4)_2021_Musika,%20S..pdf", passion fruit ,fruit peels,Thailand,92.62,,,Soxhlet extraction,ethanol ,Passiflora edulis,"peel extract (MIPE) contained the highest amount of total phenolic compounds and showed the greatest antioxidant activity as estimated by DPPH, ABTS and s. ",vitamin C,The dried powders of each sample peel (50 g) were macerated in 500 ml of 70% ethanol (w/v) using an orbital shaker at 150 rpm at room temperature for 24 h. ,,21.26,,
145,"(ErŸan et al., 2020)",https://doi.org/10.1016/j.jfca.2020.103611, passion fruit ,pulp,Costa Rica,154,,,Soxhlet extraction,methanol ,Passiflora edulis,"The edible fruit fractions, i.e. exo- and mesocarp, were shown
to be rich in flavonoids, thus offering a promising source of hydrophilic
antioxidants",,"Portions of 50 1 and 200 3 mg of lyophilised exo- and mesocarp,
respectively, were extracted four times with each 3 mL of 80% methanol
containing 5% formic acid as detailed elsewhere",,,,
146,"(Zheng et al., 2018)",https://doi.org/10.1111/jfbc.12642, passion fruit ,pulp,Brazil,,,,,,,"The contents of sugars and organic acids, and especially their relative ratio, are important indicators determining the taste and quality of fruits and fruit products. ",,,,,,
147,"(Vangari et al., 2021)",https://doi.org/10.55218/jasr.s1202112428, passion fruit , peel and pulp,India,,,,Soxhlet  method,Deuterium-depleted water,Passiflora edulis,The   present   work   involves   the   microwave-assisted preparation  of  AgNPs  using  PF  extract  as  reducing  and capping  agent  and  exploration  of  their  catalytic  activity ,vitamin C,"The  peel  was  cut  into  small  pieces,  washed and  dried  in  shade.  Finally,  they  were  oven  dried  for  1 hour at 80C and blend to make a fine powder. The PF extract  was  prepared  by  boiling  1  g  of  powder  in  100 mL  DDW. ",,,,
148,"(Nxumalo & Fawole, 2022)",https://doi.org/10.1093/fqsafe/fyac016, passion fruit ,fruit pulp, South Africa,3538.49,,,Soxhlet  method,ethanol,P. edulis f. f lavicarpa,,,"Briefly, 20g of finely powdered plant leaves were mixed with 100mL 70% ethanol in a 250-mL beaker for 30min. ",,,,
149,"(Thokchom et al., 2017)",https://www.researchgate.net/profile/Rocky-Thokchom-2/publication/342734984_Production_Preference_and_Importance_of_Passion_Fruit_Passiflora_Edulis_A_Review/links/5f0423bb299bf1881607ddee/Production-Preference-and-Importance-of-Passion-Fruit-Passiflora-Edulis-A-Review.pdf, passion fruit ,,India,,,,,,Passiflora edulis,cultivation and production of passion fruit is a technically feasible and can be boost up in the country,,,,,,
150,"(Abourashed et al., 2002)",https://www.tandfonline.com/doi/abs/10.1076/phbi.40.2.81.5844, passion fruit ,pulp,England,382,,586.7,,MeOH,Passiflora edulis,"The  generated  data  can  offer  solid  support  for  different  ap-plications,  such  as  chemotaxonomy,  breeding,  secondarymetabolite  production  and  optimization,  biological  evalua-tion  and  alternative  sourcing. ",,"Each  powdered  sample  (2.0 g)  was  loaded  into  astainless  steel  cartridge  and  batches  of  24  samples  wereextracted in a Accelerated Speed Extractor accord-ing to the following program: solvent, 80% MeOH in H2O;temperature, 40 C; pressure, 1000 psi;",,,,
151,"(Siddiq, 2012)",https://doi.org/10.1002/9781118324097, passion fruit ,pulp,Malaysia,,,,,,Passiflora edulis,results showed that the fruit peel and seed extract of P. edulis had anti-diabetic effects on the streptozotocin-induced oxidative stress.,,,,,,
152,"(Siddiq, 2012)",https://doi.org/10.1002/9781118324097, passion fruit ,pulp,Malaysia,,,,,,Passiflora edulis,results showed that the fruit peel and seed extract of P. edulis had anti-diabetic effects on the streptozotocin-induced oxidative stress.,,,,,,
153,"(Prabhu et al., 2019)",https://www.researchgate.net/publication/350546947_Alkali_Leaching_of_Cu_from_Electroplating_Sludge_Studies_and_Kinetic_aspects#page=9, passion fruit ,fruit pulp,INDIA,181,,,Soxhlet  method,ethanol,Passiflora edulis,"As insulin resistance is the most important factor in the pathophysiology of MS and because hypertension is also a complication of MS, supplementation with piceatannol may be useful for metabolic health, particularly for improving insulin sensitivity in obese men.",,,,,,
154,"(Ng et al., 2011)",https://www.sciencedirect.com/science/article/pii/B9780123756886101021, passion fruit ,pulp,China,384.4,,,water,"an alkaline solution
containing bile (bovine bile, Sigma-Aldrich, 10) and pancreatin (from porcine pancreas, Sigma-Aldrich, 1) was added to increase the pH to 4.35.2.",Passiflora edulis,"the results indicate that fruit by-products are a potential source of bioactive compounds, such as fibers, phenolics , and carotenoids, which might encourage their utilization by food industries for the development of new added-value products.",quercetine,"The total dietary fiber was obtained through the addition of the insoluble and soluble fractions. The available carbohydrates were determined by difference, calculated as the
percentage difference between 100 and the sum of moisture, protein,
lipid ash, and total dietary fiber percentages",,,44.25,
155,"(Siqueira-Jºnior et al., 2007)",https://doi.org/10.1007/s00299-007-0451-3, passion fruit ,leaf,Brazil,1577,,, maceration method,ethanol,Passiflora edulis f. flavicarpa,". Based on phytochemical screening, the three fruit extracts, namely tomatoes, purple passion fruit and strawberries, contained alkaloids, flavonoids, saponins, tannins and also a class of terpene compounds such as triterpenoids.",vitamin C,Sample extraction was carried out using the maceration method. Fruit samples that have been mashed in the form of juice are put into glass jars and soaked in 500 mL 96% ethano,,,,
156,"( Paulyn et al., 2016)",DOI: 10.21275/ART20161583, passion fruit , leaves and stem,Nigeria,,,,,,Passiflora edulis,"The study has also shown that the phytochemical compounds such as alkaloids, phenol, tannins, and flavonoids was found to have very potent antibacterial activities. ",,"The fresh leaves and stem of the plant were dried in the Biological Sciences laboratory of the University for a total of ten (10) days,",,,,
157,"(Talcott et al., 2005)",https://doi.org/10.1111/j.1365-2621.2005.tb09963.x, passion fruit ,pulp,United States,20.1,21.67,,superficial method,ethanol,PASSIFLORA EDULIS F. FLAVICARPA,"According to the analysis of variance (data not shown), there was no significant effect (p<0.05) of the packaging factor for total phenolics and ascorbic acid in yellow passion fruit juice.",ascorbic acid ,"The determination of DPPH antioxidant activity was performed as indicated by De Ancos et al. (2002), in which 150 L of the extract were added to 850 L of the DPPH solution (60 Mol L -1), and left to stand for 30 minutes in the dark. The absorbance was read in a spectrophotometer (BEL Photonics, SP1105) at 515 nm, using ethanol as a blank.",,,,
158,"(Sp­nola et al., 2015)",https://doi.org/10.1016/j.foodchem.2014.09.163, passion fruit ,pulp,Portugal,"
119.20",64.51,,Soxhlet  method, water/formic acid ,Passiflora edulis Sims,"The quantification of several individual phenolics was achieved
using standards representative of each family of components and
TIPC was computed as the sum of those individual phenolics. Anti-
oxidant capacity was significantly correlated with phenolics but
not with anthocyanins",,"The pellet was discharged and the supernatant was
filtered to remove any solid residues. The resulting liquid (from
now on designed as €˜€˜juice) was stored at 80 C until further
analysis.",,67.514,,
159,"(Lingaraju  et al., 2015)",https://www.researchgate.net/profile/Doddegowdanamane-Lingaraju/publication/281855119_ANTIBACTERIAL_EVALUATION_AND_PHYTOCHEMICAL_SCREENING_OF_LEAVES_AND_FRUITS_OF_Passiflora_subpeltata_ORTEGA/links/55fbaab508ae07629e07bf63/ANTIBACTERIAL-EVALUATION-AND-PHYTOCHEMICAL-SCREENING-OF-LEAVES-AND-FRUITS-OF-Passiflora-subpeltata-ORTEGA.pdf, passion fruit , leaves and fruits,India,,,,Soxhlet extraction,"petroleum ether, chloroform, ethyl acetate, and methanol", Passiflora subpeltata,The methanol leaf extract of P.subpeltata can be used as the active constituent of antibacterial agents,tannins,"The leaves and fruits of P.subpeltata were separately washed thoroughly 2-3 times with running water and once with sterile water, chopped into small pieces, shade dried, coarse powdered in a mechanical grinder, sieved and used for extraction.",,,,
160,"(Schotsmans & Fischer, 2011)",https://doi.org/10.1533/9780857092618.125, passion fruit ,pulp,Brazil,112.6,,,, ethanol,Passiflora edulis,For purple passion fruit storage at 45C is optimal whereas for yellow passion fruit a higher temperature of 10C is recommended.,,,,,,
161,"(Pimentel-Moral et al., 2020)",https://www.sciencedirect.com/science/article/pii/B9780128185933000075, passion fruit ,"seeds, peels",Spain,,,,supercritical fluid extraction,,Passiflora edulis,"phytosterols, flavonoids, or anthocyanins with high bioactivity against several common diseases such as hypertension, diabetes, or dyslipidemia",,,,,,
162,"(Laorko et al., 2010)",http://dx.doi.org/10.1016/j.jfoodeng.2010.04.039, passion fruit ,pulp,Thailand,,,,supercritical fluid extraction,NaOH,Passiflora edulis,"The results showed that cross-flow velocity and TMP did not have
significant effect on the phytochemical properties of clarified pine-
apple juice. According to these results, the cross-flow velocity of
3.4 ms1and TMP of 0.7 bar were selected for batch concentration
experiment.",,"fresh fruit were chopped into pieces of 1 cm3 and the juice
was extracted by a hydraulic press",,,,
163,"(Kido et al., 2020)",https://doi.org/10.15430/jcp.2020.25.2.87, passion fruit ,pulp,Brazil,92.62,,,,,Passiflora edulis,the results obtained in the present study indicates that PIC is a regulator of PCa cell growth and its main mechanism is the modulation of cell cycle regulatory proteins.,,,,,,
